Period,ConsConf_Change,CompLead_Change,BusConf_Change,Emp_Change,InvToSales_Change,PMI_Change,SP500_Change,MfgOrdDur_Change,BldgPerm_Change,Sales_Change,FedFunds_Change,DJI_Change,Payroll_Change,PersCons_Change
10-May,-0.0003,0.0026,-0.0014,0.0000,-0.0156,0.0566,0.0330,0.0561,-0.1154,0.0228,0.5385,-0.0183,0.0240,0.0105
10-Jun,-0.0012,0.0002,-0.0065,-0.0001,0.0079,-0.0570,-0.0596,0.0406,-0.1456,-0.0037,0.1250,-0.0997,0.0183,0.0070
10-Jul,-0.0038,-0.0012,-0.0077,-0.0021,0.0160,-0.0811,-0.0982,0.0150,-0.0911,-0.0095,-0.1000,-0.0493,-0.0008,0.0077
10-Aug,-0.0056,-0.0011,-0.0052,0.0004,0.0079,-0.0570,-0.0336,0.0323,0.0087,0.0047,-0.0500,-0.0120,-0.0088,0.0105
10-Sep,-0.0051,0.0002,-0.0010,-0.0012,0.0079,-0.0320,0.0357,0.0743,-0.0409,0.0156,0.0556,0.1037,-0.0059,0.0101
10-Oct,-0.0013,0.0020,0.0031,-0.0035,0.0000,0.0252,0.0850,0.0258,-0.0363,0.0279,0.0556,0.0623,0.0118,0.0157
10-Nov,0.0031,0.0037,0.0056,-0.0055,0.0000,0.0053,0.1027,0.0173,-0.0345,0.0332,0.0000,0.0990,0.0136,0.0149
10-Dec,0.0062,0.0048,0.0064,-0.0023,-0.0078,0.0478,0.1065,-0.0278,0.1226,0.0307,-0.0526,0.0732,0.0074,0.0163
11-Jan,0.0063,0.0050,0.0056,0.0032,-0.0157,0.0685,0.0948,0.0469,0.0323,0.0257,-0.1053,0.0696,-0.0217,0.0127
11-Feb,0.0031,0.0041,0.0037,0.0033,-0.0079,0.0848,0.1020,-0.0043,-0.0321,0.0211,-0.1579,0.1109,-0.0178,0.0108
11-Mar,-0.0019,0.0022,0.0009,0.0027,-0.0236,0.0737,0.0507,0.0806,-0.0775,0.0247,-0.2222,0.0641,-0.0087,0.0141
11-Apr,-0.0035,-0.0004,-0.0029,-0.0019,0.0000,-0.0066,0.0381,-0.0117,0.0087,0.0230,-0.4118,0.0772,0.0228,0.0143
11-May,-0.0032,-0.0031,-0.0074,-0.0012,0.0079,-0.1287,0.0130,0.0567,0.1402,0.0144,-0.4375,0.0281,0.0217,0.0134
11-Jun,-0.0039,-0.0055,-0.0089,-0.0039,0.0242,-0.0964,-0.0132,-0.0497,0.0909,0.0109,-0.3571,0.0077,0.0183,0.0088
11-Jul,-0.0091,-0.0071,-0.0092,-0.0021,0.0080,-0.1573,-0.0047,0.0360,0.0688,0.0035,-0.3000,-0.0521,-0.0008,0.0096
11-Aug,-0.0139,-0.0075,-0.0070,0.0020,-0.0079,-0.0542,-0.1143,0.0443,0.0469,0.0081,0.1111,-0.0761,-0.0038,0.0087
11-Sep,-0.0115,-0.0060,-0.0056,0.0039,-0.0079,-0.0669,-0.0881,0.0420,-0.0409,0.0112,-0.1111,-0.1209,-0.0019,0.0107
11-Oct,-0.0034,-0.0030,-0.0038,0.0041,0.0000,-0.0020,-0.0890,0.0010,0.0805,0.0196,0.0000,-0.0155,0.0148,0.0094
11-Nov,0.0062,0.0008,-0.0019,0.0022,0.0000,0.0415,0.0347,0.0085,0.0912,0.0213,-0.2000,0.0372,0.0152,0.0077
11-Dec,0.0125,0.0041,0.0004,0.0024,0.0000,0.0446,0.0592,0.0864,0.1426,0.0129,-0.1250,0.1195,0.0082,0.0034
12-Jan,0.0149,0.0059,0.0026,0.0034,-0.0079,0.0650,0.0773,0.0740,0.0656,0.0131,0.1429,0.0567,-0.0183,0.0072
12-Feb,0.0130,0.0059,0.0035,0.0024,-0.0079,-0.0057,0.1028,0.0332,0.0382,0.0219,0.2500,0.0752,-0.0136,0.0136
12-Mar,0.0086,0.0043,0.0029,0.0020,-0.0079,-0.0093,0.1174,-0.0261,0.1435,0.0261,0.8571,0.0814,-0.0056,0.0148
12-Apr,0.0042,0.0020,0.0013,0.0004,0.0080,0.0129,0.0660,-0.0257,0.0448,0.0114,0.7500,0.0460,0.0209,0.0103
12-May,0.0010,-0.0003,-0.0016,0.0014,0.0160,0.0210,-0.0083,-0.0316,0.1010,-0.0028,0.6000,-0.0431,0.0197,0.0031
12-Jun,-0.0023,-0.0020,-0.0048,0.0022,0.0320,-0.0693,-0.0473,-0.0080,-0.0088,-0.0186,0.2308,-0.0251,0.0153,0.0009
12-Jul,-0.0034,-0.0026,-0.0061,0.0016,0.0317,-0.0912,-0.0192,0.0261,0.1245,-0.0084,0.1429,-0.0155,-0.0004,0.0016
12-Aug,-0.0011,-0.0022,-0.0045,-0.0007,0.0157,-0.0729,0.0464,-0.0664,0.0310,0.0059,-0.1875,0.0563,-0.0037,0.0041
12-Sep,0.0042,-0.0009,-0.0017,0.0027,-0.0078,0.0362,0.0906,-0.0083,0.1658,0.0266,-0.1250,0.0432,-0.0015,0.0121
12-Oct,0.0073,0.0004,-0.0010,0.0069,-0.0077,0.0382,0.0574,-0.0288,0.0655,0.0238,0.0000,0.0067,0.0139,0.0100
12-Nov,0.0046,0.0015,-0.0014,0.0040,-0.0078,-0.0020,-0.0064,0.0777,0.1178,0.0134,0.2308,-0.0050,0.0139,0.0097
12-Dec,-0.0020,0.0022,0.0002,-0.0004,0.0000,-0.0155,-0.0146,0.0617,0.0185,0.0082,0.1429,-0.0248,0.0086,0.0050
13-Jan,-0.0055,0.0027,0.0041,-0.0040,0.0000,0.0271,0.0296,-0.0057,0.0369,0.0142,-0.1250,0.0583,-0.0189,0.0072
13-Feb,-0.0036,0.0032,0.0062,-0.0006,-0.0078,0.0949,0.0845,0.0497,0.0441,0.0242,-0.0625,0.0790,-0.0141,0.0109
13-Mar,0.0014,0.0033,0.0032,-0.0015,0.0078,0.0118,0.0904,-0.0805,-0.0064,0.0116,-0.1250,0.1125,-0.0077,0.0067
13-Apr,0.0049,0.0032,-0.0019,0.0002,0.0078,-0.0452,0.0610,0.0155,0.0938,0.0019,0.0714,0.0706,0.0214,0.0025
13-May,0.0073,0.0031,-0.0037,0.0012,0.0079,-0.0959,0.0843,0.0087,0.0463,-0.0066,-0.2667,0.0755,0.0201,-0.0003
