Period,ConsConf_Change,CompLead_Change,BusConf_Change,Emp_Change,InvToSales_Change,PMI_Change,SP500_Change,MfgOrdDur_Change,BldgPerm_Change,Sales_Change,FedFunds_Change,DJI_Change,Payroll_Change,PersCons_Change
18-12-10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,-0.01,0.13,0.01,-0.05,0.05,0.00,0.00
18-01-11,0.00,0.00,0.00,0.00,-0.02,0.07,0.03,0.05,-0.09,0.01,-0.06,0.03,-0.02,0.00
18-02-11,0.00,0.00,0.00,0.00,0.01,0.01,0.03,-0.05,-0.06,0.01,-0.06,0.03,0.01,0.00
18-03-11,0.00,0.00,0.00,0.00,-0.02,0.00,-0.01,0.08,0.08,0.01,-0.13,0.01,0.01,0.01
18-04-11,0.00,0.00,0.00,0.00,0.01,-0.01,0.02,-0.04,0.00,0.01,-0.29,0.04,0.01,0.00
18-05-11,0.00,0.00,0.00,0.00,0.02,-0.11,0.01,0.02,0.06,0.00,-0.10,-0.02,0.01,0.00
18-06-11,0.00,0.00,0.00,0.00,0.00,0.03,-0.04,-0.03,0.03,0.01,0.00,-0.01,0.00,0.00
18-07-11,-0.01,0.00,0.00,0.00,-0.01,-0.08,0.03,0.05,-0.02,0.00,-0.22,-0.02,-0.01,0.01
18-08-11,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.11,0.03,0.04,0.00,0.43,-0.04,0.00,0.00
18-09-11,0.00,0.00,0.00,0.00,0.00,0.02,-0.01,-0.03,-0.06,0.01,-0.20,-0.06,0.01,0.00
18-10-11,0.00,0.00,0.00,0.00,0.00,-0.02,0.03,0.00,0.10,0.01,-0.13,0.10,0.01,0.00
18-11-11,0.01,0.00,0.00,0.00,0.00,0.04,0.02,0.04,0.05,0.00,0.14,0.01,0.00,0.00
18-12-11,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.04,-0.01,0.00,-0.13,0.01,0.00,0.00
18-01-12,0.01,0.00,0.00,0.00,-0.01,0.00,0.05,-0.01,0.03,0.01,0.14,0.03,-0.02,0.01
18-02-12,0.00,0.00,0.00,0.00,0.00,-0.03,0.04,0.00,0.03,0.01,0.25,0.03,0.01,0.01
18-03-12,0.00,0.00,0.00,0.00,0.00,0.02,0.03,-0.02,0.09,0.01,0.30,0.02,0.01,0.00
18-04-12,0.00,0.00,0.00,0.00,0.01,0.03,0.00,-0.01,-0.06,-0.01,0.08,0.00,0.01,0.00
18-05-12,0.00,0.00,0.00,0.00,0.01,-0.02,-0.03,-0.01,0.08,0.00,0.14,-0.06,0.01,0.00
18-06-12,0.00,0.00,0.00,0.00,0.02,-0.07,-0.01,0.01,-0.02,-0.01,0.00,0.04,0.00,0.00
18-07-12,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.03,0.06,0.00,0.00,0.01,-0.01,0.00
18-08-12,0.00,0.00,0.00,0.00,-0.01,0.00,0.03,-0.10,-0.01,0.01,-0.19,0.01,0.00,0.00
18-09-12,0.00,0.00,0.00,0.00,-0.01,0.04,0.03,0.07,0.11,0.01,0.08,0.03,0.01,0.01
